Date,Note,Location,GPS,Source
"June 10, 2019 at 10:54AM",,Fort George Brewery & Public House,"46.18845772,-123.82755618",foursquare-logged-in
"June 10, 2019 at 11:46PM",,Astoria Riverwalk Inn,"46.18813873,-123.85566070",foursquare-logged-in
"June 11, 2019 at 03:25AM",,Bridgewater Bistro,"46.18975599,-123.85144513",foursquare-logged-in
"June 11, 2019 at 05:22AM",,Lewis & Clark National Historical Park,"46.13431122,-123.88004564",foursquare-logged-in
"June 12, 2019 at 08:32AM",,Kendra’s Kitchen,"45.70948514,-123.85782176",foursquare-logged-in
"June 13, 2019 at 02:04AM",,Unfurl,"45.71898543,-123.93427574",foursquare-logged-in
"June 13, 2019 at 06:37AM",,Summit Food Court,"45.45020456,-122.78043006",foursquare-logged-in
"June 13, 2019 at 08:29AM",,The LEGO Store,"45.45135828,-122.78055250",foursquare-logged-in
"June 14, 2019 at 02:02AM",,Apple Pioneer Place,"45.51784650,-122.67748480",foursquare-logged-in
"June 14, 2019 at 02:47AM",,Fuller's Coffee Shop,"45.52431753,-122.68005314",foursquare-logged-in
"June 14, 2019 at 03:29AM",,Powell's City of Books,"45.52318049,-122.68137452",foursquare-logged-in
"June 14, 2019 at 03:39AM",,Powell's Books Rose Room,"45.52348363,-122.68147097",foursquare-logged-in
"June 14, 2019 at 05:36AM",,Buffalo Exchange,"45.52289569,-122.68206723",foursquare-logged-in
"June 14, 2019 at 06:22AM",,Butterfly Belly Asian Cuisine,"45.52560800,-122.67945764",foursquare-logged-in
"June 14, 2019 at 10:35PM",,Starbucks,"45.46568250,-122.69888244",foursquare-logged-in
"June 15, 2019 at 01:26AM",,Burlingame Park,"45.47661674,-122.68220424",foursquare-logged-in
"June 15, 2019 at 02:44AM",,Daily Cafe - OHSU,"45.49878773,-122.67104304",foursquare-logged-in
"June 15, 2019 at 03:07AM",,Portland Aerial Tram - Lower Terminal,"45.49921597,-122.67102189",foursquare-logged-in
"June 15, 2019 at 03:38AM",,Elizabeth Caruthers Park,"45.49744350,-122.67141604",foursquare-logged-in
"June 15, 2019 at 06:01AM",,Elizabeth Caruthers Park,"45.49744350,-122.67141604",foursquare-logged-in
"June 15, 2019 at 08:57AM",,Hoodland Thriftway,"45.34719501,-121.96228524",foursquare-logged-in
"June 17, 2019 at 03:22AM",,Trillium Lake,"45.26997595,-121.73962340",foursquare-logged-in
"June 17, 2019 at 06:17AM",,Trillium Lake Boat Launch,"45.26842475,-121.73887070",foursquare-logged-in
"June 19, 2019 at 06:27AM",,Little Zig Zag Falls,"45.31397821,-121.79624946",foursquare-logged-in
"June 19, 2019 at 08:21AM",,Mt. Hood Skibowl,"45.30199937,-121.77340508",foursquare-logged-in
"June 22, 2019 at 01:43AM",,Chevron,"45.30258957,-121.74671361",foursquare-logged-in
"June 22, 2019 at 02:05AM",,Mount Hood,"45.37361440,-121.69595110",foursquare-logged-in
"June 22, 2019 at 02:49AM",,Timberline Lodge,"45.33109059,-121.71111345",foursquare-logged-in
"June 22, 2019 at 02:59AM",,Blue Ox Bar,"45.33121522,-121.71117003",foursquare-logged-in
"June 22, 2019 at 06:34AM",,Draper Girls Country Farm,"45.54984765,-121.56850183",foursquare-logged-in
"June 22, 2019 at 07:27AM",,Hood River Hotel,"45.70907470,-121.51138804",foursquare-logged-in
"June 22, 2019 at 09:01AM",,Solstice Wood Fire Cafe,"45.71471516,-121.51603475",foursquare-logged-in
"June 23, 2019 at 02:22AM",,Jackson Park,"45.70375696,-121.52590393",foursquare-logged-in
"June 23, 2019 at 03:51AM",,Children's Park,"45.70657936,-121.51957098",foursquare-logged-in
"June 23, 2019 at 05:06AM",,Feast Natural Market & Deli,"45.72723854,-121.48370712",foursquare-logged-in
"June 23, 2019 at 08:27AM",,Rowena Crest,"45.68236054,-121.29937832",foursquare-logged-in
"June 23, 2019 at 10:25AM",,A & J Select Market,"45.69354809,-121.88508672",foursquare-logged-in
"June 24, 2019 at 06:50AM",,Skamania Lodge,"45.68627550,-121.90493310",foursquare-logged-in
"June 24, 2019 at 07:18AM",,East Wind Drive-in,"45.66737126,-121.89470376",foursquare-logged-in
"June 25, 2019 at 01:16AM",,Stevenson Landing,"45.69186170,-121.88216475",foursquare-logged-in
"June 25, 2019 at 02:14AM",,Bridge of the Gods,"45.66229100,-121.90085900",foursquare-logged-in
"June 25, 2019 at 02:45AM",,Multnomah Falls,"45.57610300,-122.11580000",foursquare-logged-in
"June 25, 2019 at 07:01AM",,Craft Warehouse,"45.50618143,-122.43899758",foursquare-logged-in
"June 26, 2019 at 05:07AM",,Pok Pok,"45.50477005,-122.63219299",foursquare-logged-in
"June 27, 2019 at 06:00AM",,Tesla Motors,"45.44965605,-122.78099136",foursquare-logged-in
"June 28, 2019 at 05:42AM",,Boca Grande,"45.52906800,-122.63796200",foursquare-logged-in
"June 28, 2019 at 05:53AM",,Basilisk,"45.52903090,-122.63814219",foursquare-logged-in
"June 28, 2019 at 08:01AM",,Salt & Straw,"45.50492250,-122.63064748",foursquare-logged-in
"June 29, 2019 at 02:54AM",,ARCO,"46.54697608,-122.87349538",foursquare-logged-in
"June 29, 2019 at 03:14AM",,Papa Pete's Pizza,"46.72629523,-122.97562352",foursquare-logged-in
"June 29, 2019 at 04:09AM",,Nike Factory Store,"46.72410870,-122.97582210",foursquare-logged-in
"June 29, 2019 at 06:05AM",,Coach Factory Outlet,"47.29800736,-122.24339548",foursquare-logged-in
"June 29, 2019 at 09:29AM",,Courtyard by Marriott Seattle Bellevue/Redmond,"47.63549123,-122.14632272",foursquare-logged-in
"June 29, 2019 at 09:49AM",,Marriott Courtyard - Lobby,"47.61746341,-122.19334199",foursquare-logged-in
"June 29, 2019 at 11:39PM",,Global Innovation Exchange (GIX),"47.62143970,-122.17664405",foursquare-logged-in
"July 01, 2019 at 12:33AM",,Inspiration Playground,"47.61194821,-122.20581269",foursquare-logged-in
"July 01, 2019 at 03:58AM",,Peace Arch Border Crossing,"49.00208271,-122.75648396",foursquare-logged-in
"July 01, 2019 at 05:02AM",,A&W Canada,"49.19174479,-123.11189913",foursquare-logged-in
"July 01, 2019 at 11:08PM",,Kitsilano Yacht Club,"49.27400103,-123.16075537",foursquare-logged-in
"July 01, 2019 at 11:22PM",,Kitsilano Seawall,"49.27253700,-123.15764100",foursquare-logged-in
"July 02, 2019 at 04:07AM",,Mintage Mall,"49.26301023,-123.10004227",foursquare-logged-in
"July 03, 2019 at 07:33AM",,Marine Park Playground,"48.99407555,-122.76141218",foursquare-logged-in
"July 03, 2019 at 09:33AM",,Birch Bay State Park,"48.90409568,-122.76504155",foursquare-logged-in
"July 03, 2019 at 10:37AM",,Olive Garden,"48.79543651,-122.48539341",foursquare-logged-in
"July 04, 2019 at 04:01AM",,Spark Museum of Electrical Invention,"48.75133983,-122.48032576",foursquare-logged-in
"July 04, 2019 at 05:50AM",,Starvin' Sam's 76,"48.71744161,-122.50254898",foursquare-logged-in
"July 04, 2019 at 06:43AM",,Slough foods,"48.56228807,-122.44384592",foursquare-logged-in
"July 05, 2019 at 03:49AM",,City of Bothell,"47.76567323,-122.19106976",foursquare-logged-in
"July 07, 2019 at 05:40AM",,Chick-fil-A,"47.79085774,-122.21574354",foursquare-logged-in
"July 08, 2019 at 06:25AM",,MOD Pizza,"47.75277029,-122.28019506",foursquare-logged-in
"July 08, 2019 at 11:29PM",,Ballard Coffee Works,"47.66885345,-122.38471630",foursquare-logged-in
"July 09, 2019 at 03:32AM",,Seattle Public Library - Ballard Branch,"47.66978874,-122.38441694",foursquare-logged-in
"July 09, 2019 at 04:26AM",,Itadakimasu,"47.66436333,-122.31441115",foursquare-logged-in
"July 09, 2019 at 07:12AM",,Salmon Bay Park,"47.67918224,-122.38126445",foursquare-logged-in
"July 09, 2019 at 11:15PM",,Ballard Coffee Works,"47.66885345,-122.38471630",foursquare-logged-in
"July 10, 2019 at 03:32AM",,Shelter Lounge,"47.68027271,-122.32561030",foursquare-logged-in
"July 10, 2019 at 06:07AM",,Seattle Public Library - Ballard Branch,"47.66978874,-122.38441694",foursquare-logged-in
"July 10, 2019 at 08:01AM",,Arashi Ramen,"47.66823467,-122.38228122",foursquare-logged-in
"July 11, 2019 at 12:43AM",,Street Bean Espresso,"47.66564210,-122.31785682",foursquare-logged-in
"July 11, 2019 at 01:44AM",,Seattle Public Library - University Branch,"47.66519861,-122.31790464",foursquare-logged-in
"July 11, 2019 at 02:59AM",,Thai Tom,"47.66260549,-122.31331229",foursquare-logged-in
"July 11, 2019 at 03:33AM",,uBreakiFix,"47.66386243,-122.31277817",foursquare-logged-in
"July 11, 2019 at 06:31AM",,JOANN Fabrics and Crafts,"47.66975416,-122.38568490",foursquare-logged-in
"July 11, 2019 at 11:19PM",,Ballard Coffee Works,"47.66885345,-122.38471630",foursquare-logged-in
"July 12, 2019 at 11:47PM",,AuroraClean Express Laundry Mat,"47.74175405,-122.34365725",foursquare-logged-in
"July 13, 2019 at 03:46AM",,Cold Plated Dessert,"47.66778993,-122.31274213",foursquare-logged-in
"July 13, 2019 at 04:10AM",,University Heights Community Center,"47.66592417,-122.31364550",foursquare-logged-in
"July 13, 2019 at 04:41AM",,Seattle Public Library - Ballard Branch,"47.66978874,-122.38441694",foursquare-logged-in
"July 13, 2019 at 08:25AM",,Carkeek Park Beach,"47.71249481,-122.37889857",foursquare-logged-in
"July 13, 2019 at 10:41AM",,Jimmy's Pizza & Pasta,"48.24077685,-122.36635851",foursquare-logged-in
"July 13, 2019 at 10:49PM",,Best Western Plus Skagit Valley Inn And Convention Center,"48.44216205,-122.33633268",foursquare-logged-in
"July 14, 2019 at 04:33AM",,Panda Express,"48.43965535,-122.34372314",foursquare-logged-in
"July 14, 2019 at 05:13AM",,Mount Vernon Lions Club Roadside Park,"48.42480625,-122.33875629",foursquare-logged-in
"July 17, 2019 at 01:30AM",,Chevron,"48.39043998,-122.50102576",foursquare-logged-in
"July 17, 2019 at 02:30AM",,La Conner Seafood & Prime Rib House,"48.39017355,-122.49786689",foursquare-logged-in
"July 17, 2019 at 06:58AM",,Skagit Building Salvage,"48.42518346,-122.35771958",foursquare-logged-in
"July 17, 2019 at 11:42PM",,Deception Pass Campground,"48.39930525,-122.65939583",foursquare-logged-in
"July 20, 2019 at 01:45AM",,Deception Pass State Park,"48.40181345,-122.64713708",foursquare-logged-in
"July 20, 2019 at 02:07AM",,West Beach,"48.40026661,-122.66425198",foursquare-logged-in
"July 20, 2019 at 02:50AM",,The Beach,"48.37300908,-122.66586683",foursquare-logged-in
"July 20, 2019 at 04:28AM",,Coupville Wharf,"48.22266058,-122.68823331",foursquare-logged-in
"July 20, 2019 at 04:28AM",,Ebey's Landing National Historical Reserve,"48.19415729,-122.71217823",foursquare-logged-in
"July 20, 2019 at 05:24AM",,Mukilteo/Clinton Ferry Boat,"47.97457368,-122.33329568",foursquare-logged-in
"July 20, 2019 at 08:11AM",,Thriftway,"47.54453677,-122.38641233",foursquare-logged-in
"July 20, 2019 at 08:57AM",,Avis Car Rental,"47.46102201,-122.29321182",foursquare-logged-in
"July 20, 2019 at 10:48AM",,Sea-Tac Cell Phone Lot,"47.44998114,-122.29912111",foursquare-logged-in
"July 20, 2019 at 10:29PM",,Lowman Beach Park,"47.54014308,-122.39648188",foursquare-logged-in
"July 21, 2019 at 02:32AM",,Cherry Street Coffee House,"47.61831138,-122.34706835",foursquare-logged-in
"July 21, 2019 at 03:19AM",,Space Needle: Observation Deck,"47.62051477,-122.34932968",foursquare-logged-in
"July 21, 2019 at 03:20AM",,Space Needle,"47.62057980,-122.34962903",foursquare-logged-in
"July 21, 2019 at 03:21AM",,Chihuly Garden and Glass,"47.62053407,-122.35027686",foursquare-logged-in
"July 21, 2019 at 08:09AM",,Zeeks Pizza,"47.61844242,-122.34788434",foursquare-logged-in
"July 22, 2019 at 12:04AM",,King County Water Taxi,"47.58943701,-122.37951623",foursquare-logged-in
"July 22, 2019 at 12:40AM",,Seattle Ferry Terminal,"47.60260338,-122.33895273",foursquare-logged-in
"July 22, 2019 at 01:28AM",,Bainbridge Island Ferry Terminal,"47.62303370,-122.51097708",foursquare-logged-in
"July 22, 2019 at 02:46AM",,Bruciato,"47.62501370,-122.51919514",foursquare-logged-in
"July 22, 2019 at 03:47AM",,Calico Cat Toy Shoppe,"47.62514290,-122.51840756",foursquare-logged-in
"July 23, 2019 at 01:35AM",,Ampersand Cafe,"47.58038252,-122.40676393",foursquare-logged-in
"July 23, 2019 at 06:50AM",,Seward Park Audubon Center,"47.54964929,-122.25631114",foursquare-logged-in
"July 23, 2019 at 08:36AM",,Big Chickie,"47.55218969,-122.27794575",foursquare-logged-in
"July 24, 2019 at 04:56AM",,Discovery Park,"47.65817329,-122.41026102",foursquare-logged-in
"July 24, 2019 at 05:11AM",,Daybreak Star Indian Cultural Center,"47.66814445,-122.41799578",foursquare-logged-in
"July 24, 2019 at 05:35AM",,Discovery Park Visitors Center,"47.65761945,-122.40643216",foursquare-logged-in
"July 24, 2019 at 05:47AM",,Disco Park Playground,"47.65614250,-122.40524483",foursquare-logged-in
"July 25, 2019 at 02:46AM",,ARCO,"47.75213328,-122.28078877",foursquare-logged-in
"July 25, 2019 at 02:46AM",,MOD Pizza,"47.75277029,-122.28019506",foursquare-logged-in
"July 25, 2019 at 03:34AM",,Whispering Willow Park,"47.75322641,-122.28166682",foursquare-logged-in
"July 25, 2019 at 06:24AM",,Safeway,"47.86002670,-121.96780420",foursquare-logged-in
"July 27, 2019 at 08:16AM",,Prospectors Steak And Ale House,"47.85686300,-121.70093073",foursquare-logged-in
"July 27, 2019 at 09:07AM",,Gold Bar Family Grocer,"47.85245687,-121.69052848",foursquare-logged-in
"July 28, 2019 at 03:06AM",,Smallwoods Harvest,"47.57432777,-120.61377067",foursquare-logged-in
"July 28, 2019 at 04:26AM",,Big Y Cafe,"47.55408344,-120.58295756",foursquare-logged-in
"July 28, 2019 at 05:46AM",,Safeway,"47.19547668,-120.95338643",foursquare-logged-in
"July 30, 2019 at 07:22AM",,Cle Elum Lake,"47.28928226,-121.11139635",foursquare-logged-in
"July 30, 2019 at 08:04AM",,Speelyi Beach,"47.25318375,-121.06582180",foursquare-logged-in
"July 31, 2019 at 01:45AM",,Safeway Gas Station,"47.19509298,-120.95483952",foursquare-logged-in
"July 31, 2019 at 02:55AM",,Blewett Pass,"47.33515160,-120.57602896",foursquare-logged-in
"July 31, 2019 at 04:00AM",,Bavarian Bistro,"47.59496886,-120.66218530",foursquare-logged-in
"July 31, 2019 at 06:37AM",,Danish Bakery,"47.59486597,-120.66257635",foursquare-logged-in
"July 31, 2019 at 09:39AM",,Yodelin Broth,"47.59434126,-120.66370550",foursquare-logged-in
"August 01, 2019 at 03:01AM",,Mango Thai Cuisine & Bar,"47.43614073,-122.29586920",foursquare-logged-in
"August 01, 2019 at 04:58AM",,Target,"47.70913141,-122.32467428",foursquare-logged-in
"August 01, 2019 at 07:49AM",,Frēlard Pizza Company,"47.65629890,-122.36177679",foursquare-logged-in
"August 02, 2019 at 02:33AM",,Paramount Theatre,"47.61332925,-122.33139780",foursquare-logged-in
"August 02, 2019 at 05:54AM",,Nike Seattle,"47.61136000,-122.33448520",foursquare-logged-in
"August 02, 2019 at 10:58PM",,King Street Station (SEA),"47.59816543,-122.33005720",foursquare-logged-in
"August 02, 2019 at 11:28PM",,Moore Theatre,"47.61186991,-122.34139616",foursquare-logged-in
"August 02, 2019 at 11:41PM",,Starbucks,"47.60998830,-122.34262557",foursquare-logged-in
"August 02, 2019 at 11:53PM",,Joe Chocolate Co,"47.60965691,-122.34182299",foursquare-logged-in
"August 03, 2019 at 03:25AM",,Panda Express,"47.57475494,-122.17096561",foursquare-logged-in
"August 03, 2019 at 03:25AM",,Target,"47.57409132,-122.17299190",foursquare-logged-in
"August 03, 2019 at 04:39AM",,Mount Baker Beach,"47.58324126,-122.28727592",foursquare-logged-in
"August 03, 2019 at 05:51AM",,Mount Baker Park,"47.58031814,-122.28858232",foursquare-logged-in
"August 03, 2019 at 06:46AM",,Econolodge,"47.53340741,-122.19455334",foursquare-logged-in
"August 03, 2019 at 10:49AM",,Super Six,"47.55713697,-122.28551649",foursquare-logged-in
"August 04, 2019 at 06:50AM",,Pho Tai,"47.45253396,-122.26095493",foursquare-logged-in
"August 04, 2019 at 10:28AM",,Bed Bath & Beyond,"47.45622380,-122.25292970",foursquare-logged-in
"August 04, 2019 at 10:28AM",,REI,"47.45642550,-122.25364690",foursquare-logged-in
"August 04, 2019 at 10:40AM",,ARCO,"47.46414049,-122.25994800",foursquare-logged-in
"August 04, 2019 at 12:33PM",,Avis Car Rental,"47.46102201,-122.29321182",foursquare-logged-in
"August 04, 2019 at 12:53PM",,Seattle-Tacoma International Airport (SEA),"47.44358853,-122.30250835",foursquare-logged-in
"August 04, 2019 at 02:01PM",,The Club at SEA,"47.43869363,-122.30202824",foursquare-logged-in
"August 05, 2019 at 04:22AM",,Terminal 1 (一號客運大樓),"22.31474594,113.93253565",foursquare-logged-in
"August 05, 2019 at 04:00PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"August 05, 2019 at 06:22PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"August 13, 2019 at 10:43AM",,Saded Cafe',"18.79921500,98.96576800",foursquare-logged-in
"August 15, 2019 at 10:05AM",,Chiang Mai Immigration (ตรวจคนเข้าเมือง จ.เชียงใหม่),"18.77134418,98.97097492",foursquare-logged-in
"August 15, 2019 at 11:02AM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"August 15, 2019 at 01:47PM",,Tiger Ted Café (ไทเกอร์ เท็ด คาเฟ่),"18.80222606,98.96643578",foursquare-logged-in
"August 16, 2019 at 09:06PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"August 19, 2019 at 06:21PM",,level9,"18.79653300,98.98106800",foursquare-logged-in
"August 22, 2019 at 02:37PM",,Food4thought,"18.80609601,98.96137775",foursquare-logged-in
"August 25, 2019 at 10:48AM",,The Ironwood,"18.91042385,98.91189595",foursquare-logged-in
"August 25, 2019 at 06:49PM",,ครัวคำหวาน,"18.92174700,98.94002500",foursquare-logged-in
"August 27, 2019 at 02:02PM",,www.Bywoodwind.com,"18.77746500,99.01301700",foursquare-logged-in
"September 01, 2019 at 01:53PM",,Pizzeria Giotto,"18.82407370,99.01051199",foursquare-logged-in
"September 05, 2019 at 08:39AM",,Chiang Mai Immigration (ตรวจคนเข้าเมือง จ.เชียงใหม่),"18.77134418,98.97097492",foursquare-logged-in
"September 05, 2019 at 01:06PM",,I Din Klin Krog (ไอ ดิน กลิ่น ครก),"18.79697467,98.96632425",foursquare-logged-in
"September 06, 2019 at 07:42PM",,เดิมเดิม,"18.82324991,98.96417168",foursquare-logged-in
"September 14, 2019 at 09:44AM",,Sausage King Garden,"18.83274755,99.01934624",foursquare-logged-in
"September 15, 2019 at 01:02PM",,Hong beach (โฮ่งบีช),"18.91134561,98.90542207",foursquare-logged-in
"September 15, 2019 at 05:55PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"September 20, 2019 at 05:09PM",,Hakone​ Cafe,"18.75432600,99.01357000",foursquare-logged-in
"September 21, 2019 at 12:32PM",,Chiangdao Camp (ค่ายเยาวชนฯเชียงดาว),"19.36332731,98.92759319",foursquare-logged-in
"September 22, 2019 at 09:20AM",,Hot Spring เชียงดาว,"19.36304764,98.92356686",foursquare-logged-in
"September 26, 2019 at 01:29PM",,Star Visa Service,"18.79456757,98.99697339",foursquare-logged-in
"September 26, 2019 at 05:34PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"October 03, 2019 at 01:40PM",,Café de Oasis (คาเฟ่ เดอ โอเอซิส),"18.82474308,98.95955985",foursquare-logged-in
"October 04, 2019 at 01:19PM",,The Duke's,"18.80223723,98.96662236",foursquare-logged-in
"October 05, 2019 at 02:22PM",,ก๋วยเตี๋ยวหมูต้มยำ สูตรพิษณุโลก,"18.79595600,99.02457900",foursquare-logged-in
"October 06, 2019 at 07:37PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"October 10, 2019 at 08:47AM",,Domestic Departures,"18.76967403,98.96820799",foursquare-logged-in
"October 10, 2019 at 11:06AM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"October 10, 2019 at 11:48AM",,Mango Mood,"13.79033000,100.54500900",foursquare-logged-in
"October 10, 2019 at 03:27PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74558077,100.53018005",foursquare-logged-in
"October 11, 2019 at 07:29AM",,All Seasons Place (ออล ซีซั่นส์ เพลส),"13.73910315,100.54772145",foursquare-logged-in
"October 11, 2019 at 07:30AM",,Au Bon Pain (โอ บอง แปง),"13.73923286,100.54733475",foursquare-logged-in
"October 11, 2019 at 10:05AM",,Sindhorn Building (อาคารสินธร),"13.73584021,100.54519818",foursquare-logged-in
"October 11, 2019 at 11:35AM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"October 11, 2019 at 11:53AM",,Domestic Departures,"13.91808134,100.60134621",foursquare-logged-in
"October 11, 2019 at 05:09PM",,Chiang Mai Immigration (ตรวจคนเข้าเมือง จ.เชียงใหม่),"18.77134418,98.97097492",foursquare-logged-in
"October 11, 2019 at 05:33PM",,CentralPlaza Chiangmai Airport (เซ็นทรัลพลาซา เชียงใหม่ แอร์พอร์ต),"18.76915690,98.97502999",foursquare-logged-in
"October 13, 2019 at 07:52PM",,Bangkok Hospital Chiang Mai (โรงพยาบาลกรุงเทพเชียงใหม่),"18.78876573,99.02631387",foursquare-logged-in
"October 22, 2019 at 10:23AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"October 22, 2019 at 12:16PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"October 22, 2019 at 01:09PM",,Mango Mood,"13.79033000,100.54500900",foursquare-logged-in
"October 22, 2019 at 02:49PM",,Mixt Chatuchak (มิกซ์ จตุจักร),"13.80188695,100.55093050",foursquare-logged-in
"October 22, 2019 at 05:01PM",,PTT (ปตท.),"13.32741737,99.82939749",foursquare-logged-in
"October 23, 2019 at 07:04PM",,I Sea,"12.74040305,99.96614504",foursquare-logged-in
"October 24, 2019 at 12:57PM",,Veranda Resort and Spa (วีรันดา รีสอร์ท แอนด์ สปา),"12.74031700,99.96562990",foursquare-logged-in
"October 24, 2019 at 01:47PM",,Mrigadayavan Palace (พระราชนิเวศน์มฤคทายวัน),"12.69824514,99.96296883",foursquare-logged-in
"October 24, 2019 at 07:45PM",,Mango Mood,"13.79033000,100.54500900",foursquare-logged-in
"October 25, 2019 at 10:00AM",,Hub 39 (ฮับ 39),"13.78809894,100.54198971",foursquare-logged-in
"October 25, 2019 at 12:30PM",,Craftsman Bangkok,"13.78759790,100.54484526",foursquare-logged-in
"October 25, 2019 at 02:36PM",,The Grand Palace (พระบรมมหาราชวัง),"13.75149789,100.49209274",foursquare-logged-in
"October 25, 2019 at 03:29PM",,Sala Arun Cafe & Residence,"13.74516819,100.49082423",foursquare-logged-in
"October 25, 2019 at 04:08PM",,Eat Sight Story,"13.74530192,100.49061464",foursquare-logged-in
"October 25, 2019 at 07:00PM",,25 Degrees (ทเว้นตี้ไฟว์ ดีกรีส์),"13.72571100,100.52580000",foursquare-logged-in
"October 26, 2019 at 10:55AM",,Craftsman Bangkok,"13.78759790,100.54484526",foursquare-logged-in
"October 26, 2019 at 12:46PM",,Casa Lapin (คาซ่า ลาแปง),"13.78115837,100.54461508",foursquare-logged-in
"October 26, 2019 at 12:56PM",,Mango Mood,"13.79033000,100.54500900",foursquare-logged-in
"October 26, 2019 at 02:02PM",,Domestic Departures,"13.91808134,100.60134621",foursquare-logged-in
"October 26, 2019 at 02:09PM",,Miracle Co-Working Space,"13.91769442,100.60064386",foursquare-logged-in
"October 26, 2019 at 06:42PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"November 01, 2019 at 06:00PM",,เดิมเดิม,"18.82324991,98.96417168",foursquare-logged-in
"November 05, 2019 at 06:05PM",,N THRÉE coffee & eatery #maerim,"18.91906800,98.93193200",foursquare-logged-in
"November 07, 2019 at 01:08PM",,Café de Oasis (คาเฟ่ เดอ โอเอซิส),"18.82474308,98.95955985",foursquare-logged-in
"November 09, 2019 at 10:56AM",,Houses And Horses,"18.90597500,98.94463900",foursquare-logged-in
"November 10, 2019 at 07:06PM",,CentralFestival Chiangmai (เซ็นทรัลเฟสติวัล เชียงใหม่),"18.80656297,99.01784901",foursquare-logged-in
"November 15, 2019 at 07:11PM",,Rimdoi Resort,"19.43667188,98.96682976",foursquare-logged-in
"November 16, 2019 at 08:26AM",,Kusuma Coffee,"19.65258300,99.14682000",foursquare-logged-in
"November 16, 2019 at 12:48PM",,Maple Coffee,"19.80490052,99.16840870",foursquare-logged-in
"November 16, 2019 at 03:17PM",,จุดชมวิวม่อนสน,"19.86232754,99.05174173",foursquare-logged-in
"November 17, 2019 at 06:49AM",,ดอยอ่างขาง,"19.86266484,99.05156162",foursquare-logged-in
"November 17, 2019 at 11:14AM",,Wat Tham Chiang Dao (วัดถ้ำเชียงดาว),"19.39403720,98.92826370",foursquare-logged-in
"November 17, 2019 at 01:05PM",,Chiang Dao Cave (ถ้ำเชียงดาว),"19.39418267,98.92944223",foursquare-logged-in
"November 18, 2019 at 08:52AM",,Domestic Departures,"18.76967403,98.96820799",foursquare-logged-in
"November 18, 2019 at 11:35AM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"November 18, 2019 at 12:23PM",,Casa Lapin (คาซ่า ลาแปง),"13.78115837,100.54461508",foursquare-logged-in
"November 18, 2019 at 03:20PM",,AIS Shop @Shinawatra Tower 1,"13.78300400,100.54673300",foursquare-logged-in
"November 18, 2019 at 05:32PM",,Starbucks (สตาร์บัคส์),"13.77995669,100.54481947",foursquare-logged-in
"November 18, 2019 at 05:41PM",,Cast Iron Burgerhaus,"13.78123774,100.54455565",foursquare-logged-in
"November 18, 2019 at 06:49PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"November 18, 2019 at 06:57PM",,Miracle Lounge,"13.92016481,100.60337577",foursquare-logged-in
"November 21, 2019 at 05:14PM",,Mama Mia,"18.86978613,99.01552323",foursquare-logged-in
"November 28, 2019 at 12:02PM",,SUBWAY (ซับเวย์),"18.82399023,99.01177262",foursquare-logged-in
"December 01, 2019 at 06:17PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"December 04, 2019 at 12:19PM",,Café de Oasis (คาเฟ่ เดอ โอเอซิส),"18.82474308,98.95955985",foursquare-logged-in
"December 06, 2019 at 07:10PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"December 07, 2019 at 06:24PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"December 12, 2019 at 02:00PM",,The Mexican Grill,"18.78499495,98.95829067",foursquare-logged-in
"December 12, 2019 at 03:17PM",,Lobby,"18.75440000,98.88888100",foursquare-logged-in
"December 17, 2019 at 06:21PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"December 19, 2019 at 01:14PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"December 20, 2019 at 06:30PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
